prob_tw,term_id,prob_wt,modality_id,topic_id
0.0682688,8,0.0100951,1,2
0.0300709,8,0.0043714,1,3
0.0668066,8,0.00940412,1,4
0.0329619,8,0.00374114,1,5
0.108009,8,0.0157026,1,6
0.171721,8,0.0242536,1,7
0.0842815,8,0.0077016,1,8
0.0889699,8,0.0115284,1,9
0.0721922,8,0.00931287,1,10
0.0322626,8,0.0047795,1,11
0.0383583,8,0.0053327,1,12
0.0286051,8,0.00275099,1,13
0.0721095,8,0.0101275,1,14
0.0610834,8,0.00775623,1,15
0.0532047,9,0.00130931,1,1
0.083841,9,0.00210796,1,2
0.142213,9,0.00351504,1,3
0.106605,9,0.00255148,1,4
0.102878,9,0.00198531,1,5
0.0645918,9,0.00159663,1,6
0.128126,9,0.00307683,1,7
0.0323994,9,0.000503385,1,8
0.0529708,9,0.00116701,1,9
0.0351459,9,0.000770872,1,10
0.0136441,9,0.000343671,1,11
0.0740915,9,0.00175134,1,12
0.0345287,9,0.0005646,1,13
0.0159915,9,0.000381866,1,14
0.0597688,9,0.00129038,1,15
0.0445987,10,0.000395891,1,1
0.0178922,10,0.000162267,1,2
0.0455713,10,0.000406295,1,3
0.0876287,10,0.00075652,1,4
0.0391067,10,0.000272219,1,5
0.0189263,10,0.000168754,1,6
0.155272,10,0.001345,1,7
0.0425003,10,0.000238186,1,8
0.139791,10,0.00111091,1,9
0.0294254,10,0.000232804,1,10
0.0828504,10,0.000752753,1,11
0.0311833,10,0.000265879,1,12
0.235367,10,0.00138825,1,13
0.0195998,10,0.000168824,1,14
0.0102872,10,8.01123e-05,1,15
0.0685075,11,0.00669293,1,1
0.000345548,11,3.44903e-05,1,2
0.00073827,11,7.24417e-05,1,3
0.155477,11,0.0147729,1,4
0.255403,11,0.0195667,1,5
0.0252779,11,0.00248058,1,6
0.12514,11,0.0119302,1,7
0.0271277,11,0.00167325,1,8
0.176664,11,0.0154515,1,9
0.00218633,11,0.000190375,1,10
0.00661054,11,0.000661027,1,11
0.0222823,11,0.00209096,1,12
0.0225959,11,0.00146681,1,13
0.0390805,11,0.00370482,1,14
0.0725631,11,0.00621931,1,15
0.0609557,12,0.0130343,1,1
0.00661899,12,0.00144603,1,2
0.00117049,12,0.000251384,1,3
0.0518515,12,0.0107834,1,4
0.408759,12,0.0685415,1,5
0.00349338,12,0.000750331,1,6
0.0992656,12,0.0207132,1,7
0.131499,12,0.0177528,1,8
0.0821535,12,0.015727,1,9
0.00975689,12,0.00185951,1,10
0.00382938,12,0.000838121,1,11
0.0276008,12,0.00566897,1,12
0.00254874,12,0.000362132,1,13
0.0410023,12,0.00850769,1,14
0.0694944,12,0.0130368,1,15
0.0015033,13,1.36194e-05,1,1
0.00419858,13,3.88621e-05,1,2
8.99047e-05,13,8.1807e-07,1,3
0.356375,13,0.00314007,1,4
0.000372555,13,2.64677e-06,1,5
0.00136528,13,1.24242e-05,1,6
0.00295638,13,2.61364e-05,1,7
3.04579e-06,13,1.74214e-08,1,8
0.0205252,13,0.000166474,1,9
0.00349311,13,2.82058e-05,1,10
0.13384,13,0.00124109,1,11
0.0831224,13,0.000723334,1,12
0.383108,13,0.00230622,1,13
6.54076e-05,13,5.75002e-07,1,14
0.00898077,13,7.13796e-05,1,15
0.0499035,14,0.00363055,1,1
0.0175215,14,0.00130234,1,2
0.000145993,14,1.06677e-05,1,3
0.0776054,14,0.00549102,1,4
0.174468,14,0.00995338,1,5
0.00377885,14,0.000276143,1,6
0.00969092,14,0.000687987,1,7
0.0075703,14,0.000347716,1,8
0.107448,14,0.00699818,1,9
0.0320867,14,0.00208056,1,10
0.13037,14,0.00970783,1,11
0.051977,14,0.00363213,1,12
0.203535,14,0.0098389,1,13
0.0108162,14,0.000763563,1,14
0.123083,14,0.00785575,1,15
0.0124519,15,0.00159905,1,1
0.0721385,15,0.00946467,1,2
0.0694461,15,0.00895717,1,3
0.0854951,15,0.010678,1,4
0.145586,15,0.0146609,1,5
0.0341482,15,0.00440482,1,6
0.123614,15,0.0154906,1,7
